Season,Player ID,Name,First Name,Last Name,Position,Shirt Number,Position Info,Current Team,Team Abbreviation,Shots,Age,Nationality,Rank
2024/25,325335.0,Wesley Fofana,Wesley,Fofana,D,29.0,Centre Central Defender,Chelsea,CHE,1.0,23 years 250 days,France,61.0
2024/25,359180.0,Rodrigo Gomes,Rodrigo Martins,Gomes,F,19.0,Left Winger,Wolverhampton Wanderers,WOL,1.0,21 years 47 days,Portugal,61.0
2024/25,263465.0,Idrissa Gueye,Idrissa,Gueye,M,27.0,Centre Defensive Midfielder,Everton,EVE,1.0,34 years 332 days,Senegal,61.0
2024/25,343671.0,Josko Gvardiol,Josko,Gvardiol,D,24.0,Defender,Manchester City,MCI,1.0,22 years 213 days,Croatia,61.0
2024/25,336747.0,Danny Ings,Danny,Ings,F,n/a,Striker,West Ham United,WHU,1.0,32 years 31 days,England,61.0
2024/25,346851.0,Alex Iwobi,Alex,Iwobi,F,17.0,Left/Centre/Right Second Striker,Fulham,FUL,1.0,28 years 112 days,Nigeria,61.0
2024/25,340743.0,Nicolas Jackson,Nicolas,Jackson,F,15.0,Centre Second Striker,Chelsea,CHE,1.0,23 years 64 days,Senegal,61.0
2024/25,340425.0,João Pedro,João Pedro,Junqueira de Jesus,F,9.0,Centre Striker,Brighton & Hove Albion,BHA,1.0,22 years 332 days,Brazil,61.0
2024/25,300156.0,James Justin,James,Justin,D,n/a,Defender,Leicester City,LEI,1.0,26 years 182 days,England,61.0
2024/25,48260.0,Michael Keane,Michael,Keane,D,5.0,Centre Central Defender,Everton,EVE,1.0,31 years 225 days,England,61.0
2024/25,160422.0,Ezri Konsa,Ezri,Konsa,D,4.0,Centre Central Defender,Aston Villa,AVL,1.0,26 years 305 days,England,61.0
2024/25,362697.0,Pedro Neto,Pedro,Lomba Neto,F,7.0,Left/Right Winger,Chelsea,CHE,1.0,24 years 167 days,Portugal,61.0
2024/25,340680.0,James Maddison,James,Maddison,M,10.0,Left/Centre/Right Attacking Midfielder,Tottenham Hotspur,TOT,1.0,27 years 274 days,England,61.0
2024/25,328496.0,Kobbie Mainoo,Kobbie,Mainoo,M,37.0,Centre Central Midfielder,Manchester United,MUN,1.0,19 years 126 days,England,61.0
2024/25,166789.0,Gabriel Martinelli,Gabriel Teodoro,Martinelli Silva,M,n/a,Midfielder,Arsenal,ARS,1.0,23 years 66 days,Brazil,61.0
2024/25,345765.0,Konstantinos Mavropanos,Konstantinos,Mavropanos,D,15.0,Centre Central Defender,West Ham United,WHU,1.0,26 years 256 days,Greece,61.0
2024/25,161347.0,Bryan Mbeumo,Bryan,Mbeumo,M,19.0,Left Winger,Brentford,BRE,1.0,25 years 16 days,Cameroon,61.0
2024/25,337938.0,Kasey McAteer,Kasey,McAteer,M,19.0,Centre/Right Attacking Midfielder,Leicester City,LEI,1.0,22 years 275 days,England,61.0
2024/25,169744.0,Tyrick Mitchell,Tyrick,Mitchell,D,39.0,Left Full Back,Crystal Palace,CRY,1.0,24 years 357 days,England,61.0
2024/25,341034.0,Mason Mount,Mason,Mount,M,7.0,Centre Attacking Midfielder,Manchester United,MUN,1.0,25 years 226 days,England,61.0
2024/25,340570.0,Christopher Nkunku,Christopher,Nkunku,F,18.0,Left/Centre Second Striker,Chelsea,CHE,1.0,26 years 283 days,France,61.0
2024/25,361427.0,Amadou Onana,Amadou,Onana,M,24.0,Centre Defensive Midfielder,Aston Villa,AVL,1.0,23 years 7 days,Belgium,61.0
2024/25,336736.0,Dango Ouattara,Dango,Ouattara,F,11.0,Forward,Bournemouth,BOU,1.0,22 years 194 days,Burkina Faso,61.0
2024/25,324030.0,Emerson,Emerson,Palmieri dos Santos,D,33.0,Left Full Back,West Ham United,WHU,1.0,30 years 20 days,Italy,61.0
2024/25,258869.0,Thomas Partey,Thomas,Partey,M,5.0,Centre Defensive Midfielder,Arsenal,ARS,1.0,31 years 71 days,Ghana,61.0
2024/25,361241.0,Jaden Philogene,Jaden,Philogene,F,19.0,Left/Right Winger,Aston Villa,AVL,1.0,22 years 197 days,England,61.0
2024/25,339963.0,Ethan Pinnock,Ethan,Pinnock,D,n/a,Left/Centre Central Defender,Brentford,BRE,1.0,31 years 86 days,Jamaica,61.0
2024/25,340461.0,Pedro Porro,Pedro,Porro,D,23.0,Right Full Back,Tottenham Hotspur,TOT,1.0,24 years 345 days,Spain,61.0
2024/25,222663.0,Jacob Ramsey,Jacob,Ramsey,M,41.0,Midfielder,Aston Villa,AVL,1.0,23 years 87 days,England,61.0
2024/25,342058.0,Declan Rice,Declan,Rice,M,41.0,Centre Central Midfielder,Arsenal,ARS,1.0,25 years 222 days,England,61.0
2024/25,362466.0,Guido Rodríguez,Guido,Rodríguez,M,24.0,Centre Defensive Midfielder,West Ham United,WHU,1.0,30 years 133 days,Argentina,61.0
2024/25,285389.0,Cristian Romero,Cristian,Romero,D,17.0,Centre Central Defender,Tottenham Hotspur,TOT,1.0,26 years 118 days,Argentina,61.0
2024/25,336549.0,Pablo Sarabia,Pablo,Sarabia,M,21.0,Left/Centre/Right Attacking Midfielder,Wolverhampton Wanderers,WOL,1.0,32 years 104 days,Spain,61.0
2024/25,314125.0,Pape Sarr,Pape,Sarr,M,29.0,Centre Central Midfielder,Tottenham Hotspur,TOT,1.0,21 years 344 days,Senegal,61.0
2024/25,340456.0,Kevin Schade,Kevin,Schade,M,7.0,Left/Right Winger,Brentford,BRE,1.0,22 years 270 days,Germany,61.0
2024/25,275377.0,Fabian Schär,Fabian,Schär,D,n/a,Defender,Newcastle United,NEW,1.0,32 years 247 days,Switzerland,61.0
2024/25,20239.0,Son Heung-Min,Heung-Min,Son,F,7.0,Left/Centre/Right Winger,Tottenham Hotspur,TOT,1.0,32 years 46 days,South Korea,61.0
2024/25,359917.0,Jørgen Strand Larsen,Jørgen,Strand Larsen,F,9.0,Centre Striker,Wolverhampton Wanderers,WOL,1.0,24 years 199 days,Norway,61.0
2024/25,314846.0,James Tarkowski,James,Tarkowski,D,6.0,Centre Central Defender,Everton,EVE,1.0,31 years 278 days,England,61.0
2024/25,340666.0,Jack Taylor,Jack,Taylor,M,14.0,Centre Central Midfielder,Ipswich Town,IPS,1.0,26 years 61 days,Ireland,61.0
2024/25,358671.0,Jurriën Timber,Jurriën,Timber,D,n/a,Defender,Arsenal,ARS,1.0,23 years 67 days,Netherlands,61.0
2024/25,345041.0,Harry Toffolo,Harry,Toffolo,D,n/a,Defender,Nottingham Forest,NFO,1.0,29 years 4 days,England,61.0
2024/25,325037.0,Lucas Paquetá,Lucas,Tolentino Coelho de Lima,M,10.0,Centre Attacking Midfielder,West Ham United,WHU,1.0,26 years 362 days,Brazil,61.0
2024/25,348160.0,Axel Tuanzebe,Axel,Tuanzebe,D,40.0,Centre Central Defender,Ipswich Town,IPS,1.0,26 years 283 days,DR Congo,61.0
2024/25,316560.0,Neco Williams,Neco,Williams,D,7.0,Right Full Back,Nottingham Forest,NFO,1.0,23 years 132 days,Wales,61.0
2024/25,340567.0,Chris Wood,Chris,Wood,F,11.0,Centre Striker,Nottingham Forest,NFO,1.0,32 years 260 days,New Zealand,61.0
2024/25,361068.0,Joshua Zirkzee,Joshua,Zirkzee,F,11.0,Centre Striker,Manchester United,MUN,1.0,23 years 93 days,Netherlands,61.0
2024/25,288147.0,Martin Ødegaard,Martin,Ødegaard,M,8.0,Left/Centre/Right Attacking Midfielder,Arsenal,ARS,1.0,25 years 250 days,Norway,61.0
2024/25,355287.0,Yasin Ayari,Yasin,Ayari,M,n/a,Midfielder,Brighton & Hove Albion,BHA,0.0,20 years 322 days,Sweden,134.0
2024/25,226363.0,Ollie Watkins,Ollie,Watkins,F,11.0,Left/Centre/Right Second Striker,Aston Villa,AVL,0.0,28 years 237 days,England,134.0
2023/24,312560.0,Erling Haaland,Erling,Haaland,F,9.0,Centre Striker,Manchester City,MCI,121.0,24 years 33 days,Norway,1.0
2023/24,47184.0,Mohamed Salah,Mohamed,Salah Hamed Mahrous Ghaly,F,11.0,Left/Centre/Right Winger,Liverpool,LIV,114.0,32 years 69 days,Egypt,2.0
2023/24,346777.0,Cole Palmer,Cole,Palmer,M,20.0,Attacking Midfielder,Chelsea,CHE,109.0,22 years 109 days,England,3.0
