Season,Player ID,Name,First Name,Last Name,Position,Shirt Number,Position Info,Current Team,Team Abbreviation,Appearances,Age,Nationality,Rank
2024/25,362739.0,Fábio Carvalho,Fábio Leandro,Freitas Gouveia de Carvalho,M,14.0,Left/Centre/Right Attacking Midfielder,Brentford,BRE,1.0,21 years 359 days,Portugal,1.0
2024/25,362409.0,Niclas Füllkrug,Niclas,Füllkrug,F,11.0,Centre Striker,West Ham United,WHU,1.0,31 years 196 days,Germany,1.0
2024/25,335653.0,Cody Gakpo,Cody,Gakpo,F,18.0,Centre Striker,Liverpool,LIV,1.0,25 years 108 days,Netherlands,1.0
2024/25,309995.0,Alejandro Garnacho,Alejandro,Garnacho,F,17.0,Left/Right Winger,Manchester United,MUN,1.0,20 years 53 days,Argentina,1.0
2024/25,323587.0,Morgan Gibbs-White,Morgan,Gibbs-White,M,10.0,Centre Central Midfielder,Nottingham Forest,NFO,1.0,24 years 209 days,England,1.0
2024/25,325644.0,Billy Gilmour,Billy,Gilmour,M,11.0,Central Midfielder,Brighton & Hove Albion,BHA,1.0,23 years 73 days,Scotland,1.0
2024/25,359180.0,Rodrigo Gomes,Rodrigo Martins,Gomes,F,19.0,Left Winger,Wolverhampton Wanderers,WOL,1.0,21 years 47 days,Portugal,1.0
2024/25,300707.0,Toti Gomes,Tote António,Gomes,D,24.0,Centre Central Defender,Wolverhampton Wanderers,WOL,1.0,25 years 220 days,Portugal,1.0
2024/25,346391.0,Beto,Norberto Bercique,Gomes Betuncal,F,14.0,Centre Striker,Everton,EVE,1.0,26 years 205 days,Portugal,1.0
2024/25,337528.0,João Gomes,João Victor,Gomes da Silva,M,8.0,Centre Central Midfielder,Wolverhampton Wanderers,WOL,1.0,23 years 193 days,Brazil,1.0
2024/25,337516.0,Anthony Gordon,Anthony,Gordon,F,10.0,Winger,Newcastle United,NEW,1.0,23 years 181 days,England,1.0
2024/25,346846.0,Ryan Gravenberch,Ryan,Gravenberch,M,38.0,Centre Central Midfielder,Liverpool,LIV,1.0,22 years 99 days,Netherlands,1.0
