Season,Player ID,Name,First Name,Last Name,Position,Shirt Number,Position Info,Current Team,Team Abbreviation,Dispossessed,Age,Nationality,Rank
2020/21,258869.0,Thomas Partey,Thomas,Partey,M,5.0,Centre Defensive Midfielder,Arsenal,ARS,10.0,31 years 71 days,Ghana,211.0
2020/21,327274.0,Erik Pieters,Erik,Pieters,D,15.0,Left Full Back,Burnley,BUR,10.0,36 years 16 days,Netherlands,211.0
2020/21,202622.0,Harrison Reed,Harrison,Reed,M,6.0,Centre Central Midfielder,Fulham,FUL,10.0,29 years 209 days,England,211.0
2020/21,315677.0,Romaine Sawyers,Romaine,Sawyers,M,19.0,Centre Attacking Midfielder,n/a,n/a,10.0,32 years 295 days,St. Kitts & Nevis,211.0
2020/21,284417.0,Ben White,Ben,White,D,4.0,Centre/Right Central Defender,n/a,n/a,10.0,26 years 320 days,England,211.0
2020/21,265104.0,Andrii Yarmolenko,Andrii,Yarmolenko,F,n/a,Winger,West Ham United,WHU,10.0,34 years 305 days,Ukraine,211.0
2020/21,325869.0,Marcos Alonso,Marcos,Alonso,D,17.0,Left Full Back,n/a,n/a,9.0,33 years 239 days,Spain,224.0
2020/21,337933.0,Cédric Soares,Cédric Ricardo,Alves Soares,D,12.0,Right Full Back,n/a,n/a,9.0,32 years 358 days,Portugal,224.0
2020/21,347834.0,Steven Alzate,Steven,Alzate,M,17.0,Left/Centre/Right Central Midfielder,n/a,n/a,9.0,25 years 350 days,Colombia,224.0
2020/21,315651.0,Robert Brady,Robert,Brady,M,11.0,Left Winger,n/a,n/a,9.0,32 years 222 days,Ireland,224.0
2020/21,302934.0,Dan Burn,Dan,Burn,D,33.0,Centre Central Defender,n/a,n/a,9.0,32 years 106 days,England,224.0
2020/21,14131.0,Aaron Cresswell,Aaron,Cresswell,D,3.0,Left Full Back,West Ham United,WHU,9.0,34 years 252 days,England,224.0
2020/21,294007.0,Matt Doherty,Matt,Doherty,D,2.0,Right Full Back,n/a,n/a,9.0,32 years 220 days,Ireland,224.0
2020/21,362739.0,Fábio Carvalho,Fábio Leandro,Freitas Gouveia de Carvalho,M,14.0,Left/Centre/Right Attacking Midfielder,n/a,n/a,9.0,21 years 359 days,Portugal,224.0
2020/21,325634.0,Daniel James,Daniel,James,M,21.0,Right Winger,n/a,n/a,9.0,26 years 287 days,Wales,224.0
2020/21,348087.0,Manuel Lanzini,Manuel,Lanzini,M,10.0,Attacking Midfielder,n/a,n/a,9.0,31 years 190 days,Argentina,224.0
2020/21,338506.0,Lys Mousset,Lys,Mousset,F,7.0,Centre Striker,n/a,n/a,9.0,28 years 197 days,France,224.0
2020/21,337813.0,Josh Onomah,Josh,Onomah,M,17.0,Centre Central Midfielder,n/a,n/a,9.0,27 years 118 days,England,224.0
2020/21,318804.0,Dennis Praet,Dennis,Praet,M,22.0,Centre Central Midfielder,n/a,n/a,9.0,30 years 101 days,Belgium,224.0
2020/21,362847.0,Jairo Riedewald,Jairo,Riedewald,M,4.0,Centre Defensive Midfielder,n/a,n/a,9.0,27 years 349 days,Netherlands,224.0
2020/21,258788.0,Pascal Struijk,Pascal,Struijk,D,21.0,Centre Central Defender,Leeds United,LEE,9.0,25 years 12 days,Netherlands,224.0
2020/21,359468.0,Charlie Taylor,Charlie,Taylor,D,21.0,Left Full Back,Burnley,BUR,9.0,30 years 340 days,England,224.0
2020/21,345072.0,Cengiz Ünder,Cengiz,Ünder,F,20.0,Left/Right Winger,n/a,n/a,9.0,27 years 40 days,Turkey,224.0
2020/21,362177.0,Okay Yokuslu,Okay,Yokuslu,M,35.0,Defensive Midfielder,West Bromwich Albion,WBA,9.0,30 years 167 days,Turkey,224.0
2020/21,281358.0,Ryan Bertrand,Ryan,Bertrand,D,5.0,Left Full Back,n/a,n/a,8.0,35 years 18 days,England,242.0
2020/21,343485.0,Aaron Connolly,Aaron,Connolly,F,44.0,Centre Striker,n/a,n/a,8.0,24 years 208 days,Ireland,242.0
2020/21,314687.0,Aboubakar Kamara,Aboubakar,Kamara,F,47.0,Forward,n/a,n/a,8.0,29 years 169 days,Mauritania,242.0
2020/21,129760.0,Naby Keïta,Naby,Keïta,M,8.0,Centre Central Midfielder,n/a,n/a,8.0,29 years 195 days,Guinea,242.0
