Season,Player ID,Name,First Name,Last Name,Position,Shirt Number,Position Info,Current Team,Team Abbreviation,Fouls,Age,Nationality,Rank
2022/23,14111.0,Ben Davies,Ben,Davies,D,33.0,Left Full Back,Tottenham Hotspur,TOT,30.0,31 years 121 days,Wales,81.0
2022/23,161996.0,Eddie Nketiah,Eddie,Nketiah,F,14.0,Centre Striker,Arsenal,ARS,30.0,25 years 85 days,England,81.0
2022/23,356049.0,Ivan Perisic,Ivan,Perisic,F,4.0,Forward,n/a,n/a,30.0,35 years 203 days,Croatia,81.0
2022/23,288147.0,Martin Ødegaard,Martin,Ødegaard,M,8.0,Left/Centre/Right Attacking Midfielder,Arsenal,ARS,30.0,25 years 250 days,Norway,81.0
2022/23,284910.0,Leon Bailey,Leon,Bailey,M,31.0,Left Winger,Aston Villa,AVL,29.0,27 years 14 days,Jamaica,87.0
2022/23,327260.0,Diego Costa,Diego,Da Silva Costa,F,29.0,Striker,n/a,n/a,29.0,35 years 321 days,Spain,87.0
2022/23,279619.0,Ibrahima Konaté,Ibrahima,Konaté,D,5.0,Centre Central Defender,Liverpool,LIV,29.0,25 years 90 days,France,87.0
2022/23,355739.0,Renan Lodi,Renan Augusto,Lodi dos Santos,D,6.0,Defender,n/a,n/a,29.0,26 years 137 days,Brazil,87.0
2022/23,135591.0,Sean Longstaff,Sean,Longstaff,M,36.0,Centre Central Midfielder,Newcastle United,NEW,29.0,26 years 298 days,England,87.0
2022/23,289869.0,Kaoru Mitoma,Kaoru,Mitoma,F,18.0,Forward,Brighton & Hove Albion,BHA,29.0,27 years 95 days,Japan,87.0
2022/23,194758.0,Rodrigo,Rodrigo,Moreno Machado,F,19.0,Centre Striker,n/a,n/a,29.0,33 years 170 days,Spain,87.0
2022/23,299539.0,Vitalii Mykolenko,Vitalii,Mykolenko,D,19.0,Left Full Back,Everton,EVE,29.0,25 years 86 days,Ukraine,87.0
2022/23,42220.0,Wilfred Ndidi,Wilfred,Ndidi,M,6.0,Centre Central Midfielder,Leicester City,LEI,29.0,27 years 251 days,Nigeria,87.0
2022/23,322422.0,Marcos Senesi,Marcos,Senesi,D,25.0,Centre Central Defender,Bournemouth,BOU,29.0,27 years 105 days,Argentina,87.0
2022/23,10050.0,Adam Smith,Adam,Smith,D,15.0,Right Full Back,Bournemouth,BOU,29.0,33 years 116 days,England,87.0
2022/23,258788.0,Pascal Struijk,Pascal,Struijk,D,21.0,Centre Central Defender,Leeds United,LEE,29.0,25 years 12 days,Netherlands,87.0
2022/23,128164.0,Joel Ward,Joel,Ward,D,n/a,Defender,Crystal Palace,CRY,29.0,34 years 299 days,England,87.0
2022/23,327643.0,Michail Antonio,Michail,Antonio,F,n/a,Centre Striker,West Ham United,WHU,28.0,34 years 148 days,Jamaica,100.0
2022/23,288980.0,Odsonne Édouard,Odsonne,Édouard,F,22.0,Centre Striker,Crystal Palace,CRY,28.0,26 years 220 days,France,100.0
2022/23,325635.0,Wilfried Gnonto,Wilfried,Gnonto,F,29.0,Attacking Midfielder,Leeds United,LEE,28.0,20 years 292 days,Italy,100.0
2022/23,345120.0,Roméo Lavia,Roméo,Lavia,M,45.0,Centre Defensive Midfielder,n/a,n/a,28.0,20 years 230 days,Belgium,100.0
2022/23,43231.0,Scott McTominay,Scott,McTominay,M,39.0,Centre Attacking Midfielder,Manchester United,MUN,28.0,27 years 259 days,Scotland,100.0
2022/23,341034.0,Mason Mount,Mason,Mount,M,7.0,Centre Attacking Midfielder,n/a,n/a,28.0,25 years 226 days,England,100.0
2022/23,360352.0,Michael Olise,Michael,Olise,M,17.0,Centre Attacking Midfielder,n/a,n/a,28.0,22 years 255 days,France,100.0
2022/23,284417.0,Ben White,Ben,White,D,4.0,Centre/Right Central Defender,Arsenal,ARS,28.0,26 years 320 days,England,100.0
2022/23,363213.0,Joachim Andersen,Joachim,Andersen,D,5.0,Centre Central Defender,n/a,n/a,27.0,28 years 84 days,Denmark,108.0
2022/23,341459.0,César Azpilicueta,César,Azpilicueta,D,3.0,Right Full Back,n/a,n/a,27.0,34 years 361 days,Spain,108.0
2022/23,320724.0,Eberechi Eze,Eberechi,Eze,M,10.0,Centre Attacking Midfielder,Crystal Palace,CRY,27.0,26 years 55 days,England,108.0
2022/23,337516.0,Anthony Gordon,Anthony,Gordon,F,10.0,Winger,Newcastle United,NEW,27.0,23 years 181 days,England,108.0
2022/23,285236.0,Jack Grealish,Jack,Grealish,M,10.0,Left/Centre/Right Attacking Midfielder,Manchester City,MCI,27.0,28 years 348 days,England,108.0
2022/23,161347.0,Bryan Mbeumo,Bryan,Mbeumo,M,19.0,Left Winger,Brentford,BRE,27.0,25 years 16 days,Cameroon,108.0
2022/23,186988.0,Joël Veltman,Joël,Veltman,D,34.0,Centre/Right Full Back,Brighton & Hove Albion,BHA,27.0,32 years 221 days,Netherlands,108.0
2022/23,363206.0,Joe Worrall,Joe,Worrall,D,n/a,Centre Central Defender,n/a,n/a,27.0,27 years 226 days,England,108.0
2022/23,180212.0,Jarrod Bowen,Jarrod,Bowen,F,20.0,Centre Striker,West Ham United,WHU,26.0,27 years 247 days,England,116.0
2022/23,263914.0,Daniel Podence,Daniel,Castelo Podence,M,56.0,Left Winger,Wolverhampton Wanderers,WOL,26.0,28 years 307 days,Portugal,116.0
2022/23,335653.0,Cody Gakpo,Cody,Gakpo,F,18.0,Centre Striker,Liverpool,LIV,26.0,25 years 108 days,Netherlands,116.0
2022/23,361026.0,Kieffer Moore,Kieffer,Moore,F,9.0,Centre Striker,n/a,n/a,26.0,32 years 15 days,Wales,116.0
2022/23,343487.0,Mohammed Salisu,Mohammed,Salisu,D,22.0,Central Defender,Southampton,SOU,26.0,25 years 128 days,Ghana,116.0
2022/23,226363.0,Ollie Watkins,Ollie,Watkins,F,11.0,Left/Centre/Right Second Striker,Aston Villa,AVL,26.0,28 years 237 days,England,116.0
2022/23,344329.0,Granit Xhaka,Granit,Xhaka,M,34.0,Central Midfielder,n/a,n/a,26.0,31 years 331 days,Switzerland,116.0
2022/23,297850.0,Patrick Bamford,Patrick,Bamford,F,n/a,Centre Striker,Leeds United,LEE,25.0,30 years 353 days,England,123.0
2022/23,346392.0,Timothy Castagne,Timothy,Castagne,D,21.0,Right Full Back,n/a,n/a,25.0,28 years 262 days,Belgium,123.0
2022/23,359602.0,Eric Dier,Eric,Dier,D,15.0,Centre Central Defender,n/a,n/a,25.0,30 years 221 days,England,123.0
2022/23,202648.0,Gabriel Magalhães,Gabriel,dos Santos Magalhães,D,6.0,Centre Central Defender,Arsenal,ARS,25.0,26 years 248 days,Brazil,123.0
2022/23,312801.0,Darwin Núñez,Darwin,Núñez,F,9.0,Centre Striker,Liverpool,LIV,25.0,25 years 60 days,Uruguay,123.0
2022/23,187645.0,Kyle Walker-Peters,Kyle,Walker-Peters,D,2.0,Right Full Back,Southampton,SOU,25.0,27 years 132 days,England,123.0
2022/23,259569.0,Danny Welbeck,Danny,Welbeck,F,18.0,Centre Striker,Brighton & Hove Albion,BHA,25.0,33 years 271 days,England,123.0
2022/23,325430.0,Manuel Akanji,Manuel,Akanji,D,25.0,Centre Central Defender,Manchester City,MCI,24.0,29 years 35 days,Switzerland,130.0
2022/23,313792.0,Taiwo Awoniyi,Taiwo,Awoniyi,F,9.0,Centre Striker,Nottingham Forest,NFO,24.0,27 years 11 days,Nigeria,130.0
2022/23,302775.0,Rodrigo Bentancur,Rodrigo,Bentancur,M,30.0,Centre Central Midfielder,Tottenham Hotspur,TOT,24.0,27 years 59 days,Uruguay,130.0
2022/23,278144.0,Junior Firpo,Junior,Firpo,D,3.0,Left Full Back,Leeds United,LEE,24.0,28 years 1 day,Dominican Republic,130.0
2022/23,362977.0,Remo Freuler,Remo,Freuler,M,8.0,Centre Attacking Midfielder,Nottingham Forest,NFO,24.0,32 years 130 days,Switzerland,130.0
2022/23,282268.0,Demarai Gray,Demarai,Gray,F,11.0,Left/Right Winger,n/a,n/a,24.0,28 years 56 days,Jamaica,130.0
2022/23,282013.0,Marc Guéhi,Marc,Guéhi,D,6.0,Centre Central Defender,Crystal Palace,CRY,24.0,24 years 41 days,England,130.0
2022/23,341954.0,Ashley Young,Ashley,Young,D,18.0,Defender,n/a,n/a,24.0,39 years 45 days,England,130.0
2022/23,277554.0,Patson Daka,Patson,Daka,F,20.0,Centre Striker,Leicester City,LEI,23.0,25 years 319 days,Zambia,138.0
2022/23,325441.0,Wout Faes,Wout,Faes,D,3.0,Central Defender,Leicester City,LEI,23.0,26 years 142 days,Belgium,138.0
2022/23,363187.0,Ilkay Gündogan,Ilkay,Gündogan,M,19.0,Centre Central Midfielder,n/a,n/a,23.0,33 years 304 days,Germany,138.0
2022/23,346785.0,Clément Lenglet,Clément,Lenglet,D,17.0,Left/Centre Central Defender,n/a,n/a,23.0,29 years 67 days,France,138.0
2022/23,342058.0,Declan Rice,Declan,Rice,M,41.0,Centre Central Midfielder,n/a,n/a,23.0,25 years 222 days,England,138.0
2022/23,363134.0,Oliver Skipp,Oliver,Skipp,M,n/a,Centre Central Midfielder,n/a,n/a,23.0,23 years 342 days,England,138.0
2022/23,30533.0,Trent Alexander-Arnold,Trent,Alexander-Arnold,D,n/a,Right Full Back,Liverpool,LIV,22.0,25 years 321 days,England,144.0
2022/23,154335.0,Miguel Almirón,Miguel,Almirón,M,24.0,Left/Centre/Right Second Striker,Newcastle United,NEW,22.0,30 years 195 days,Paraguay,144.0
2022/23,41062.0,Dominic Calvert-Lewin,Dominic,Calvert-Lewin,F,9.0,Centre Striker,Everton,EVE,22.0,27 years 160 days,England,144.0
2022/23,258703.0,Vitaly Janelt,Vitaly,Janelt,M,27.0,Centre Defensive Midfielder,Brentford,BRE,22.0,26 years 105 days,Germany,144.0
2022/23,354647.0,Kalidou Koulibaly,Kalidou,Koulibaly,D,3.0,Centre Central Defender,n/a,n/a,22.0,33 years 64 days,Senegal,144.0
2022/23,323012.0,Cheikhou Kouyaté,Cheikhou,Kouyaté,M,8.0,Centre Defensive Midfielder,n/a,n/a,22.0,34 years 246 days,Senegal,144.0
2022/23,360569.0,Orel Mangala,Orel,Mangala,M,25.0,Central Midfielder,n/a,n/a,22.0,26 years 158 days,Belgium,144.0
2022/23,320612.0,Dwight McNeil,Dwight,McNeil,F,7.0,Left Winger,Everton,EVE,22.0,24 years 275 days,England,144.0
2022/23,50135.0,Andy Robertson,Andy,Robertson,D,26.0,Left Full Back,Liverpool,LIV,22.0,30 years 165 days,Scotland,144.0
2022/23,362225.0,Crysencio Summerville,Crysencio,Summerville,F,7.0,Left Winger,Leeds United,LEE,22.0,22 years 298 days,Netherlands,144.0
2022/23,362733.0,Julián Alvarez,Julián,Alvarez,F,19.0,Centre Striker,n/a,n/a,21.0,24 years 205 days,Argentina,154.0
2022/23,356788.0,Carlos Vinícius,Carlos Vinícius,Alves Morais,F,95.0,Centre Striker,n/a,n/a,21.0,29 years 151 days,Brazil,154.0
2022/23,211499.0,Matty Cash,Matty,Cash,D,2.0,Right Full Back,Aston Villa,AVL,21.0,27 years 16 days,Poland,154.0
2022/23,258769.0,Diogo Dalot,José Diogo,Dalot Teixeira,D,5.0,Right Full Back,Manchester United,MUN,21.0,25 years 158 days,Portugal,154.0
