Season,Player ID,Name,First Name,Last Name,Position,Shirt Number,Position Info,Current Team,Team Abbreviation,TotalHighClaim,Age,Nationality,Rank
2022/23,133131.0,Alisson Becker,Alisson Ramsés,Becker,G,1.0,Goalkeeper,Liverpool,LIV,23.0,31 years 326 days,Brazil,11.0
2022/23,46085.0,Jordan Pickford,Jordan,Pickford,G,n/a,Goalkeeper,Everton,EVE,22.0,30 years 169 days,England,12.0
2022/23,288169.0,Aaron Ramsdale,Aaron,Ramsdale,G,1.0,Goalkeeper,Arsenal,ARS,22.0,26 years 101 days,England,12.0
2022/23,346759.0,Dean Henderson,Dean,Henderson,G,1.0,Goalkeeper,n/a,n/a,20.0,27 years 164 days,England,14.0
2022/23,25178.0,Hugo Lloris,Hugo,Lloris,G,1.0,Goalkeeper,n/a,n/a,20.0,37 years 241 days,France,14.0
2022/23,357590.0,Danny Ward,Danny,Ward,G,n/a,Goalkeeper,Leicester City,LEI,20.0,31 years 62 days,Wales,14.0
2022/23,44029.0,Ederson,Ederson,Santana de Moraes,G,31.0,Goalkeeper,Manchester City,MCI,19.0,31 years 6 days,Brazil,17.0
2022/23,343670.0,Robert Sánchez,Robert,Sánchez,G,1.0,Goalkeeper,n/a,n/a,17.0,26 years 279 days,Spain,18.0
2022/23,355030.0,Daniel Iversen,Daniel,Iversen,G,1.0,Goalkeeper,Leicester City,LEI,16.0,27 years 35 days,Denmark,19.0
2022/23,345016.0,Kepa,Kepa,Arrizabalaga Revuelta,G,25.0,Goalkeeper,Chelsea,CHE,15.0,29 years 325 days,Spain,20.0
2022/23,6011.0,David de Gea,David,de Gea,G,1.0,Goalkeeper,n/a,n/a,15.0,33 years 290 days,Spain,20.0
2022/23,337946.0,Keylor Navas,Keylor,Navas,G,12.0,Goalkeeper,n/a,n/a,14.0,37 years 252 days,Costa Rica,22.0
2022/23,135974.0,Jason Steele,Jason,Steele,G,n/a,Goalkeeper,Brighton & Hove Albion,BHA,10.0,34 years 5 days,England,23.0
2022/23,256071.0,Édouard Mendy,Édouard,Mendy,G,16.0,Goalkeeper,n/a,n/a,9.0,32 years 175 days,Senegal,24.0
2022/23,35190.0,Alex McCarthy,Alex,McCarthy,G,13.0,Goalkeeper,Southampton,SOU,6.0,34 years 264 days,England,25.0
2022/23,353590.0,Dan Bentley,Dan,Bentley,G,25.0,Goalkeeper,Wolverhampton Wanderers,WOL,5.0,31 years 41 days,England,26.0
2022/23,312587.0,Fraser Forster,Fraser,Forster,G,20.0,Goalkeeper,Tottenham Hotspur,TOT,5.0,36 years 159 days,England,26.0
2022/23,312582.0,Robin Olsen,Robin,Olsen,G,25.0,Goalkeeper,Aston Villa,AVL,5.0,34 years 228 days,Sweden,26.0
2022/23,343141.0,Mark Travers,Mark,Travers,G,1.0,Goalkeeper,n/a,n/a,5.0,25 years 97 days,Ireland,26.0
2022/23,314431.0,Alphonse Areola,Alphonse,Areola,G,23.0,Goalkeeper,West Ham United,WHU,2.0,31 years 178 days,France,30.0
2022/23,314643.0,Sam Johnstone,Sam,Johnstone,G,32.0,Goalkeeper,Crystal Palace,CRY,2.0,31 years 151 days,England,30.0
2022/23,322448.0,Joel Robles,Joel,Robles,G,22.0,Goalkeeper,Leeds United,LEE,2.0,34 years 67 days,Spain,30.0
2022/23,363204.0,Asmir Begovic,Asmir,Begovic,G,n/a,Goalkeeper,n/a,n/a,1.0,37 years 64 days,Bosnia & Herzegovina,33.0
2022/23,325525.0,Martin Dúbravka,Martin,Dúbravka,G,31.0,Goalkeeper,Newcastle United,NEW,1.0,35 years 221 days,Slovakia,33.0
2022/23,318563.0,Wayne Hennessey,Wayne,Hennessey,G,13.0,Goalkeeper,n/a,n/a,1.0,37 years 212 days,Wales,33.0
2022/23,314465.0,Stefan Ortega,Stefan,Ortega,G,18.0,Goalkeeper,Manchester City,MCI,1.0,31 years 291 days,Germany,33.0
2022/23,20301.0,Marek Rodák,Marek,Rodák,G,13.0,Goalkeeper,n/a,n/a,1.0,27 years 254 days,Slovakia,33.0
2022/23,361151.0,Joe Whitworth,Joe,Whitworth,G,1.0,Goalkeeper,n/a,n/a,1.0,20 years 176 days,England,33.0
2021/22,343670.0,Robert Sánchez,Robert,Sánchez,G,1.0,Goalkeeper,n/a,n/a,60.0,26 years 279 days,Spain,1.0
2021/22,313738.0,Nick Pope,Nick,Pope,G,22.0,Goalkeeper,Burnley,BUR,46.0,32 years 126 days,England,2.0
2021/22,281359.0,José Sá,José Pedro,Malheiro de Sá,G,1.0,Goalkeeper,Wolverhampton Wanderers,WOL,43.0,31 years 219 days,Portugal,3.0
2021/22,252275.0,Emiliano Martínez,Emiliano,Martínez,G,23.0,Goalkeeper,Aston Villa,AVL,34.0,31 years 356 days,Argentina,4.0
2021/22,25178.0,Hugo Lloris,Hugo,Lloris,G,1.0,Goalkeeper,n/a,n/a,33.0,37 years 241 days,France,5.0
2021/22,129917.0,Lukasz Fabianski,Lukasz,Fabianski,G,1.0,Goalkeeper,West Ham United,WHU,28.0,39 years 127 days,Poland,6.0
2021/22,256071.0,Édouard Mendy,Édouard,Mendy,G,16.0,Goalkeeper,n/a,n/a,28.0,32 years 175 days,Senegal,6.0
2021/22,360351.0,David Raya,David,Raya,G,22.0,Goalkeeper,n/a,n/a,27.0,28 years 343 days,Spain,8.0
2021/22,288169.0,Aaron Ramsdale,Aaron,Ramsdale,G,1.0,Goalkeeper,Arsenal,ARS,26.0,26 years 101 days,England,9.0
2021/22,186584.0,Illan Meslier,Illan,Meslier,G,1.0,Goalkeeper,Leeds United,LEE,23.0,24 years 174 days,France,10.0
